timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 23:18:44,gpt-4.1,1849,243,2092,0.0056419999999999994
2025-12-26 23:19:06,gpt-4.1,1834,230,2064,0.005508
2025-12-26 23:19:25,gpt-4.1,1783,243,2026,0.005509999999999999
2025-12-26 23:19:49,gpt-4.1,1801,295,2096,0.005961999999999999
2025-12-26 23:20:11,gpt-4.1,1781,259,2040,0.005634
2025-12-26 23:20:30,gpt-4.1,1821,211,2032,0.00533
2025-12-26 23:20:51,gpt-4.1,1853,297,2150,0.006082
2025-12-26 23:20:54,gpt-4.1,1136,202,1338,0.003888
2025-12-26 23:21:14,gpt-4.1,1358,306,1664,0.005164
2025-12-26 23:21:40,gpt-4.1,1384,212,1596,0.004464
2025-12-26 23:22:00,gpt-4.1,1305,201,1506,0.0042179999999999995
2025-12-26 23:22:15,gpt-4.1,1417,221,1638,0.004601999999999999
2025-12-26 23:22:32,gpt-4.1,1468,230,1698,0.004776
2025-12-26 23:22:51,gpt-4.1,1335,237,1572,0.004566
2025-12-26 23:22:54,gpt-4.1,2651,268,2919,0.0074459999999999995
2025-12-26 23:23:26,gpt-4.1,2453,243,2696,0.00685
2025-12-26 23:24:03,gpt-4.1,2791,297,3088,0.007958
2025-12-26 23:24:30,gpt-4.1,2464,240,2704,0.006848
2025-12-26 23:25:07,gpt-4.1,2483,254,2737,0.006998
