timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-11-22 17:32:08,gpt-4.1,3620,227,3847,0.009056
2025-11-22 17:32:33,gpt-4.1,3900,94,3994,0.008551999999999999
2025-11-22 17:33:47,gpt-4.1,3884,195,4079,0.009328
2025-11-22 17:34:11,gpt-4.1,4164,106,4270,0.009176
2025-11-22 17:35:28,gpt-4.1,4017,212,4229,0.009729999999999999
2025-11-22 17:35:52,gpt-4.1,4297,101,4398,0.009401999999999999
2025-11-22 17:37:07,gpt-4.1,4034,188,4222,0.009571999999999999
2025-11-22 17:37:36,gpt-4.1,4314,122,4436,0.009604
2025-11-22 17:38:38,gpt-4.1,4072,226,4298,0.009952
2025-11-22 17:39:06,gpt-4.1,4352,91,4443,0.009432
2025-11-22 17:40:35,gpt-4.1,4356,210,4566,0.010391999999999998
2025-11-22 17:41:02,gpt-4.1,4636,93,4729,0.010015999999999999
