timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-06 00:43:07,gpt-4.1,1956,220,2176,0.005672
2025-12-06 00:43:28,gpt-4.1,2029,258,2287,0.006122
2025-12-06 00:43:48,gpt-4.1,2014,234,2248,0.005899999999999999
2025-12-06 00:44:07,gpt-4.1,2045,230,2275,0.0059299999999999995
2025-12-06 00:44:28,gpt-4.1,2016,219,2235,0.005784
2025-12-06 00:44:53,gpt-4.1,2028,205,2233,0.005696
2025-12-06 00:45:10,gpt-4.1,2025,207,2232,0.005705999999999999
2025-12-06 00:45:33,gpt-4.1,2028,233,2261,0.00592
2025-12-06 00:45:55,gpt-4.1,2030,227,2257,0.005876
2025-12-06 00:45:58,gpt-4.1,1287,275,1562,0.004774
2025-12-06 00:46:13,gpt-4.1,1323,271,1594,0.004814
2025-12-06 00:46:28,gpt-4.1,1246,292,1538,0.004828
2025-12-06 00:46:42,gpt-4.1,1238,279,1517,0.004708
2025-12-06 00:46:56,gpt-4.1,1312,305,1617,0.005064
2025-12-06 00:47:10,gpt-4.1,1299,250,1549,0.004598
2025-12-06 00:47:25,gpt-4.1,1300,231,1531,0.004448
2025-12-06 00:47:40,gpt-4.1,1360,241,1601,0.004647999999999999
2025-12-06 00:47:55,gpt-4.1,1280,253,1533,0.0045839999999999995
2025-12-06 00:48:00,gpt-4.1,2979,279,3258,0.00819
2025-12-06 00:48:30,gpt-4.1,3021,259,3280,0.008114
2025-12-06 00:49:03,gpt-4.1,3017,252,3269,0.00805
2025-12-06 00:49:33,gpt-4.1,3214,178,3392,0.007852
2025-12-06 00:50:11,gpt-4.1,3065,230,3295,0.00797
2025-12-06 00:50:43,gpt-4.1,3209,283,3492,0.008682
2025-12-06 00:51:15,gpt-4.1,3180,232,3412,0.008216
2025-12-06 00:51:47,gpt-4.1,3120,232,3352,0.008095999999999999
2025-12-06 00:52:26,gpt-4.1,3264,241,3505,0.008456
2025-12-06 00:52:31,gpt-4.1,6706,311,7017,0.015899999999999997
2025-12-06 00:53:13,gpt-4.1,4097,380,4477,0.011234
2025-12-06 00:54:09,gpt-4.1,5210,371,5581,0.013387999999999999
2025-12-06 00:55:13,gpt-4.1,5485,329,5814,0.013602
2025-12-06 00:55:56,gpt-4.1,3980,331,4311,0.010608
2025-12-06 00:56:52,gpt-4.1,5395,319,5714,0.013342
2025-12-06 00:57:43,gpt-4.1,4294,253,4547,0.010612
2025-12-06 00:58:44,gpt-4.1,5375,359,5734,0.013621999999999999
2025-12-06 00:59:39,gpt-4.1,5421,379,5800,0.013874
