timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2026-02-10 22:03:59,gpt-5-mini,386,145,531,0.0003865
2026-02-10 22:04:12,gpt-5-mini,462,145,607,0.0004055
2026-02-10 22:04:22,gpt-5-mini,560,145,705,0.00043
2026-02-10 22:04:32,gpt-5-mini,855,273,1128,0.0007597499999999999
2026-02-10 22:04:41,gpt-5-mini,934,81,1015,0.00039549999999999996
2026-02-10 22:04:52,gpt-5-mini,1157,337,1494,0.00096325
2026-02-10 22:05:05,gpt-5-mini,1403,273,1676,0.00089675
2026-02-10 22:05:15,gpt-5-mini,1554,145,1699,0.0006785
2026-02-10 22:05:28,gpt-5-mini,1645,273,1918,0.00095725
2026-02-10 22:05:41,gpt-5-mini,1750,273,2023,0.0009835
2026-02-10 22:05:49,gpt-5-mini,1873,145,2018,0.00075825
2026-02-10 22:05:58,gpt-5-mini,1956,337,2293,0.001163
2026-02-10 22:06:13,gpt-5-mini,2041,337,2378,0.00118425
2026-02-10 22:06:22,gpt-5-mini,2212,273,2485,0.001099
2026-02-10 22:06:35,gpt-5-mini,2394,337,2731,0.0012725
2026-02-10 22:06:49,gpt-5-mini,2483,401,2884,0.00142275
2026-02-10 22:07:05,gpt-5-mini,2574,465,3039,0.0015734999999999998
2026-02-10 22:07:18,gpt-5-mini,2758,401,3159,0.0014915
2026-02-10 22:07:35,gpt-5-mini,2880,273,3153,0.0012659999999999998
2026-02-10 22:07:44,gpt-5-mini,3072,145,3217,0.001058
2026-02-10 22:08:00,gpt-5-mini,3148,273,3421,0.001333
2026-02-10 22:08:14,gpt-5-mini,3435,401,3836,0.00166075
2026-02-10 22:08:25,gpt-5-mini,3520,209,3729,0.001298
2026-02-10 22:08:37,gpt-5-mini,3641,273,3914,0.0014562499999999999
2026-02-10 22:08:49,gpt-5-mini,3716,209,3925,0.0013469999999999999
2026-02-10 22:08:58,gpt-5-mini,3859,145,4004,0.00125475
2026-02-10 22:09:12,gpt-5-mini,3983,401,4384,0.0017977499999999999
2026-02-10 22:09:24,gpt-5-mini,4141,273,4414,0.0015812499999999998
2026-02-10 22:09:36,gpt-5-mini,4222,273,4495,0.0016015
2026-02-10 22:09:47,gpt-5-mini,4358,401,4759,0.0018915
2026-02-10 22:09:58,gpt-5-mini,4593,145,4738,0.0014382499999999999
2026-02-10 22:10:09,gpt-5-mini,4752,145,4897,0.0014780000000000001
2026-02-10 22:10:21,gpt-5-mini,4835,145,4980,0.00149875
2026-02-10 22:10:31,gpt-5-mini,4963,337,5300,0.0019147499999999998
2026-02-10 22:10:41,gpt-5-mini,5072,81,5153,0.00143
2026-02-10 22:10:49,gpt-5-mini,5218,209,5427,0.0017224999999999999
2026-02-10 22:10:58,gpt-5-mini,5333,145,5478,0.0016232500000000001
2026-02-10 22:11:14,gpt-5-mini,5443,593,6036,0.00254675
2026-02-10 22:11:24,gpt-5-mini,5573,273,5846,0.00193925
2026-02-10 22:11:36,gpt-5-mini,5671,273,5944,0.00196375
2026-02-10 22:11:46,gpt-5-mini,5788,209,5997,0.001865
2026-02-10 22:11:59,gpt-5-mini,5916,273,6189,0.002025
2026-02-10 22:12:09,gpt-5-mini,5996,209,6205,0.0019169999999999999
2026-02-10 22:12:21,gpt-5-mini,6084,209,6293,0.001939
2026-02-10 22:12:31,gpt-5-mini,6156,209,6365,0.001957
2026-02-10 22:12:43,gpt-5-mini,6771,209,6980,0.0021107499999999998
2026-02-10 22:12:55,gpt-5-mini,6928,209,7137,0.00215
2026-02-10 22:13:07,gpt-5-mini,7001,81,7082,0.0019122499999999999
