timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-11-22 19:34:06,gpt-4.1,3492,204,3696,0.008616
2025-11-22 19:34:30,gpt-4.1,3772,77,3849,0.008159999999999999
2025-11-22 19:35:42,gpt-4.1,3740,180,3920,0.008919999999999999
2025-11-22 19:36:08,gpt-4.1,4020,126,4146,0.009048
2025-11-22 19:37:19,gpt-4.1,3970,169,4139,0.009291999999999998
2025-11-22 19:37:44,gpt-4.1,4532,82,4614,0.00972
2025-11-22 19:38:47,gpt-4.1,3947,199,4146,0.009486
2025-11-22 19:39:41,gpt-4.1,3949,130,4079,0.008938
2025-11-22 19:40:56,gpt-4.1,3989,182,4171,0.009433999999999998
2025-11-22 19:41:24,gpt-4.1,4269,137,4406,0.009634
2025-11-22 19:42:39,gpt-4.1,3966,205,4171,0.009572
2025-11-22 19:43:12,gpt-4.1,4246,138,4384,0.009596
