timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-11-30 03:20:17,gpt-5,13469,3112,16581,0.047956250000000006
2025-11-30 03:23:26,gpt-5,12478,2561,15039,0.0412075
2025-11-30 03:25:41,gpt-5,12706,2013,14719,0.0360125
2025-11-30 03:29:03,gpt-5,12854,3022,15876,0.04628750000000001
2025-11-30 03:31:24,gpt-5,12786,2567,15353,0.0416525
2025-11-30 03:34:15,gpt-5,13202,3679,16881,0.05329250000000001
2025-11-30 03:36:43,gpt-5,11489,3273,14762,0.04709125
2025-11-30 03:39:39,gpt-5,13923,3340,17263,0.05080375000000001
2025-11-30 03:44:31,gpt-5,10594,2388,12982,0.0371225
2025-11-30 03:48:09,gpt-5,10865,2723,13588,0.04081125
2025-11-30 03:50:17,gpt-5,11444,3404,14848,0.048345
2025-11-30 03:53:00,gpt-5,10577,2890,13467,0.04212125
2025-11-30 03:55:42,gpt-5,9808,3458,13266,0.04684
