timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2026-01-16 15:46:19,gpt-5-mini,4179,876,5055,0.0027967499999999998
2026-01-16 15:47:17,gpt-5-mini,3022,549,3571,0.0018535000000000001
2026-01-16 15:48:26,gpt-5-mini,2045,790,2835,0.0020912500000000002
2026-01-16 15:49:45,gpt-5-mini,2992,1160,4152,0.003068
2026-01-16 15:50:23,gpt-5-mini,3047,750,3797,0.00226175
2026-01-16 15:51:09,gpt-5-mini,3627,694,4321,0.00229475
2026-01-16 15:52:06,gpt-5-mini,2832,824,3656,0.002356
2026-01-16 15:52:49,gpt-5-mini,2855,850,3705,0.00241375
2026-01-16 15:53:31,gpt-5-mini,2837,1028,3865,0.00276525
