timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 20:37:34,gpt-5-mini,1800,979,2779,0.002408
2025-12-26 20:38:03,gpt-5-mini,1778,1051,2829,0.0025464999999999997
2025-12-26 20:38:33,gpt-5-mini,1821,1089,2910,0.0026332499999999997
2025-12-26 20:39:03,gpt-5-mini,1851,1224,3075,0.00291075
2025-12-26 20:39:32,gpt-5-mini,1897,1026,2923,0.00252625
2025-12-26 20:40:00,gpt-5-mini,1979,979,2958,0.00245275
2025-12-26 20:40:22,gpt-5-mini,1889,943,2832,0.0023582499999999997
2025-12-26 20:40:31,gpt-5-mini,1136,934,2070,0.002152
2025-12-26 20:40:56,gpt-5-mini,1456,971,2427,0.002306
2025-12-26 20:41:21,gpt-5-mini,1474,1260,2734,0.0028884999999999996
2025-12-26 20:41:47,gpt-5-mini,1459,1114,2573,0.00259275
2025-12-26 20:42:07,gpt-5-mini,1435,875,2310,0.00210875
2025-12-26 20:42:32,gpt-5-mini,1467,1018,2485,0.00240275
2025-12-26 20:42:52,gpt-5-mini,1353,1012,2365,0.0023622499999999998
2025-12-26 20:43:11,gpt-5-mini,2645,1732,4377,0.00412525
2025-12-26 20:43:54,gpt-5-mini,2415,1794,4209,0.00419175
2025-12-26 20:44:34,gpt-5-mini,2414,1744,4158,0.0040915
2025-12-26 20:45:19,gpt-5-mini,2438,1628,4066,0.0038655
2025-12-26 20:46:10,gpt-5-mini,3758,2163,5921,0.0052655
2025-12-26 20:47:00,gpt-5-mini,3450,1817,5267,0.0044965
2025-12-26 20:47:44,gpt-5-mini,3493,1963,5456,0.00479925
2025-12-26 20:48:06,gpt-5-mini,4509,1896,6405,0.00491925
2025-12-26 20:48:59,gpt-5-mini,4240,2302,6542,0.005664
2025-12-26 20:50:41,gpt-5-mini,4114,2232,6346,0.0054925
2025-12-26 20:51:40,gpt-5-mini,4233,1954,6187,0.00496625
2025-12-26 20:52:40,gpt-5-mini,4337,2024,6361,0.00513225
2025-12-26 20:54:37,gpt-5-mini,4410,2029,6439,0.0051605
2025-12-26 20:55:29,gpt-5-mini,4381,2178,6559,0.0054512499999999995
