timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-11-22 20:12:32,gpt-4.1,3144,178,3322,0.007711999999999999
2025-11-22 20:13:03,gpt-4.1,3143,99,3242,0.007078
2025-11-22 20:14:03,gpt-4.1,3335,213,3548,0.008374
2025-11-22 20:14:30,gpt-4.1,3615,109,3724,0.008102
2025-11-22 20:15:21,gpt-4.1,3335,190,3525,0.00819
2025-11-22 20:15:44,gpt-4.1,3615,108,3723,0.008093999999999999
2025-11-22 20:16:48,gpt-4.1,3407,181,3588,0.008262
2025-11-22 20:17:15,gpt-4.1,3687,107,3794,0.00823
2025-11-22 20:18:19,gpt-4.1,3546,194,3740,0.008643999999999999
2025-11-22 20:18:41,gpt-4.1,3826,103,3929,0.008476
2025-11-22 20:19:47,gpt-4.1,3564,174,3738,0.00852
2025-11-22 20:20:12,gpt-4.1,3844,89,3933,0.0084
