timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-05 19:12:58,gpt-4.1,2012,280,2292,0.006264
2025-12-05 19:13:15,gpt-4.1,1846,267,2113,0.005828
2025-12-05 19:13:34,gpt-4.1,1845,223,2068,0.005474
2025-12-05 19:13:49,gpt-4.1,1854,235,2089,0.005588
2025-12-05 19:14:06,gpt-4.1,1845,210,2055,0.00537
2025-12-05 19:14:26,gpt-4.1,1833,250,2083,0.005666
2025-12-05 19:14:42,gpt-4.1,1789,311,2100,0.006066
2025-12-05 19:15:02,gpt-4.1,1811,290,2101,0.005941999999999999
2025-12-05 19:15:20,gpt-4.1,1881,200,2081,0.005362
2025-12-05 19:15:24,gpt-4.1,1281,208,1489,0.004226
2025-12-05 19:15:38,gpt-4.1,1334,300,1634,0.005068
2025-12-05 19:15:51,gpt-4.1,1318,309,1627,0.005108
2025-12-05 19:16:05,gpt-4.1,1316,323,1639,0.005216
2025-12-05 19:16:16,gpt-4.1,1299,204,1503,0.00423
2025-12-05 19:16:30,gpt-4.1,1352,280,1632,0.004944
2025-12-05 19:16:46,gpt-4.1,1342,374,1716,0.005676
2025-12-05 19:17:00,gpt-4.1,1304,308,1612,0.005072
2025-12-05 19:17:13,gpt-4.1,1329,315,1644,0.0051779999999999994
2025-12-05 19:17:17,gpt-4.1,2906,245,3151,0.007771999999999999
2025-12-05 19:17:44,gpt-4.1,2746,270,3016,0.007651999999999999
2025-12-05 19:18:18,gpt-4.1,2909,247,3156,0.007793999999999999
2025-12-05 19:18:44,gpt-4.1,2804,198,3002,0.0071920000000000005
2025-12-05 19:19:10,gpt-4.1,2684,272,2956,0.0075439999999999995
2025-12-05 19:19:41,gpt-4.1,3050,273,3323,0.008284
2025-12-05 19:20:09,gpt-4.1,2878,338,3216,0.008459999999999999
2025-12-05 19:20:39,gpt-4.1,3005,200,3205,0.00761
2025-12-05 19:21:11,gpt-4.1,3002,229,3231,0.007836
2025-12-05 19:21:15,gpt-4.1,6677,332,7009,0.01601
2025-12-05 19:21:42,gpt-4.1,4091,338,4429,0.010886
2025-12-05 19:22:19,gpt-4.1,4176,313,4489,0.010856
2025-12-05 19:23:02,gpt-4.1,4226,368,4594,0.011396
2025-12-05 19:23:44,gpt-4.1,4997,341,5338,0.012721999999999999
2025-12-05 19:24:32,gpt-4.1,5123,355,5478,0.013086
2025-12-05 19:25:29,gpt-4.1,5168,275,5443,0.012535999999999999
2025-12-05 19:26:04,gpt-4.1,5120,407,5527,0.013496
2025-12-05 19:26:52,gpt-4.1,4177,277,4454,0.01057
