timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 21:16:42,gpt-5-mini,1921,1064,2985,0.0026082500000000003
2025-12-26 21:17:02,gpt-5-mini,1604,1152,2756,0.002705
2025-12-26 21:17:28,gpt-5-mini,1734,962,2696,0.0023575
2025-12-26 21:17:47,gpt-5-mini,1578,882,2460,0.0021585
2025-12-26 21:18:10,gpt-5-mini,1584,1095,2679,0.002586
2025-12-26 21:18:33,gpt-5-mini,1590,1176,2766,0.0027494999999999998
2025-12-26 21:19:01,gpt-5-mini,1564,1150,2714,0.002691
2025-12-26 21:19:33,gpt-5-mini,1191,984,2175,0.0022657499999999995
2025-12-26 21:19:55,gpt-5-mini,1389,1046,2435,0.00243925
2025-12-26 21:20:24,gpt-5-mini,1507,1212,2719,0.00280075
2025-12-26 21:20:45,gpt-5-mini,1478,1023,2501,0.0024155
2025-12-26 21:21:02,gpt-5-mini,1175,1044,2219,0.00238175
2025-12-26 21:21:20,gpt-5-mini,1260,651,1911,0.001617
2025-12-26 21:21:39,gpt-5-mini,1305,978,2283,0.00228225
2025-12-26 21:22:01,gpt-5-mini,2645,1690,4335,0.00404125
2025-12-26 21:22:48,gpt-5-mini,3152,1721,4873,0.004229999999999999
2025-12-26 21:23:25,gpt-5-mini,3002,1585,4587,0.0039204999999999995
2025-12-26 21:24:06,gpt-5-mini,3468,1700,5168,0.004267
2025-12-26 21:24:55,gpt-5-mini,3797,1560,5357,0.00406925
2025-12-26 21:25:51,gpt-5-mini,3743,1541,5284,0.00401775
2025-12-26 21:26:42,gpt-5-mini,3668,1933,5601,0.004783
2025-12-26 21:26:59,gpt-5-mini,4509,1964,6473,0.00505525
2025-12-26 21:27:45,gpt-5-mini,4190,1818,6008,0.0046835
2025-12-26 21:28:37,gpt-5-mini,4226,1804,6030,0.004664499999999999
2025-12-26 21:29:30,gpt-5-mini,3725,1581,5306,0.00409325
2025-12-26 21:30:18,gpt-5-mini,4406,1831,6237,0.0047635
2025-12-26 21:31:07,gpt-5-mini,4371,1689,6060,0.00447075
2025-12-26 21:32:03,gpt-5-mini,4442,2295,6737,0.005700499999999999
