timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2026-02-10 22:30:04,gpt-5-mini,386,145,531,0.0003865
2026-02-10 22:30:13,gpt-5-mini,462,145,607,0.0004055
2026-02-10 22:30:24,gpt-5-mini,560,145,705,0.00043
2026-02-10 22:30:34,gpt-5-mini,855,209,1064,0.0006317499999999999
2026-02-10 22:30:49,gpt-5-mini,934,401,1335,0.0010355
2026-02-10 22:30:59,gpt-5-mini,1157,209,1366,0.00070725
2026-02-10 22:31:14,gpt-5-mini,1403,337,1740,0.00102475
2026-02-10 22:31:25,gpt-5-mini,1554,209,1763,0.0008064999999999999
2026-02-10 22:31:37,gpt-5-mini,1645,209,1854,0.0008292499999999999
2026-02-10 22:31:54,gpt-5-mini,1750,209,1959,0.0008554999999999999
2026-02-10 22:32:04,gpt-5-mini,1873,145,2018,0.00075825
2026-02-10 22:32:13,gpt-5-mini,1956,210,2166,0.0009089999999999999
2026-02-10 22:32:35,gpt-5-mini,2041,529,2570,0.0015682499999999998
2026-02-10 22:32:46,gpt-5-mini,2212,209,2421,0.000971
2026-02-10 22:33:01,gpt-5-mini,2394,209,2603,0.0010165
2026-02-10 22:33:14,gpt-5-mini,2483,337,2820,0.00129475
2026-02-10 22:33:27,gpt-5-mini,2574,530,3104,0.0017035
2026-02-10 22:33:36,gpt-5-mini,2758,273,3031,0.0012355
2026-02-10 22:33:55,gpt-5-mini,2880,337,3217,0.0013939999999999998
2026-02-10 22:34:05,gpt-5-mini,3072,209,3281,0.001186
2026-02-10 22:34:19,gpt-5-mini,3148,209,3357,0.001205
2026-02-10 22:34:29,gpt-5-mini,3435,209,3644,0.0012767499999999999
2026-02-10 22:34:39,gpt-5-mini,3520,209,3729,0.001298
2026-02-10 22:34:48,gpt-5-mini,3641,209,3850,0.00132825
2026-02-10 22:35:02,gpt-5-mini,3716,465,4181,0.001859
2026-02-10 22:35:12,gpt-5-mini,3859,209,4068,0.0013827499999999999
2026-02-10 22:35:25,gpt-5-mini,3983,337,4320,0.0016697499999999998
2026-02-10 22:35:34,gpt-5-mini,4141,209,4350,0.00145325
2026-02-10 22:35:42,gpt-5-mini,4222,209,4431,0.0014735
2026-02-10 22:35:53,gpt-5-mini,4358,273,4631,0.0016354999999999998
2026-02-10 22:36:05,gpt-5-mini,4593,209,4802,0.00156625
2026-02-10 22:36:15,gpt-5-mini,4752,209,4961,0.001606
2026-02-10 22:36:24,gpt-5-mini,4835,145,4980,0.00149875
2026-02-10 22:36:33,gpt-5-mini,4963,209,5172,0.0016587499999999999
2026-02-10 22:36:43,gpt-5-mini,5072,145,5217,0.001558
2026-02-10 22:36:55,gpt-5-mini,5218,401,5619,0.0021065
2026-02-10 22:37:04,gpt-5-mini,5333,145,5478,0.0016232500000000001
2026-02-10 22:37:18,gpt-5-mini,5443,273,5716,0.00190675
2026-02-10 22:37:27,gpt-5-mini,5573,81,5654,0.00155525
2026-02-10 22:37:40,gpt-5-mini,5671,465,6136,0.00234775
2026-02-10 22:37:51,gpt-5-mini,5788,337,6125,0.002121
2026-02-10 22:38:00,gpt-5-mini,5916,209,6125,0.0018969999999999998
2026-02-10 22:38:11,gpt-5-mini,5996,145,6141,0.0017889999999999998
2026-02-10 22:38:21,gpt-5-mini,6084,145,6229,0.0018110000000000001
2026-02-10 22:38:37,gpt-5-mini,6156,209,6365,0.001957
2026-02-10 22:38:48,gpt-5-mini,6771,145,6916,0.00198275
2026-02-10 22:38:59,gpt-5-mini,6928,273,7201,0.0022779999999999996
2026-02-10 22:39:11,gpt-5-mini,7001,145,7146,0.00204025
