timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2026-01-15 03:03:17,gpt-5-mini,4459,1501,5960,0.00411675
2026-01-15 03:03:46,gpt-5-mini,4283,1029,5312,0.0031287499999999996
2026-01-15 03:04:30,gpt-5-mini,2607,1262,3869,0.0031757499999999998
2026-01-15 03:05:32,gpt-5-mini,2551,511,3062,0.0016597499999999998
2026-01-15 03:06:32,gpt-5-mini,2998,1182,4180,0.0031135
2026-01-15 03:06:50,gpt-5-mini,3002,746,3748,0.0022424999999999997
2026-01-15 03:07:23,gpt-5-mini,2937,773,3710,0.0022802499999999997
2026-01-15 03:07:42,gpt-5-mini,3865,600,4465,0.0021662499999999998
2026-01-15 03:08:19,gpt-5-mini,3874,646,4520,0.0022605
2026-01-15 03:08:46,gpt-5-mini,3883,742,4625,0.00245475
