timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-27 01:30:55,gpt-4.1,1637,239,1876,0.005186
2025-12-27 01:31:12,gpt-4.1,1674,275,1949,0.005547999999999999
2025-12-27 01:31:25,gpt-4.1,1666,210,1876,0.005012
2025-12-27 01:31:38,gpt-4.1,1647,253,1900,0.005318
2025-12-27 01:31:56,gpt-4.1,1682,204,1886,0.004996
2025-12-27 01:32:12,gpt-4.1,1684,243,1927,0.005312
2025-12-27 01:32:25,gpt-4.1,1628,230,1858,0.005096
2025-12-27 01:32:29,gpt-4.1,1199,256,1455,0.004446
2025-12-27 01:32:43,gpt-4.1,1497,212,1709,0.00469
2025-12-27 01:32:56,gpt-4.1,1447,217,1664,0.00463
2025-12-27 01:33:10,gpt-4.1,1476,224,1700,0.004744
2025-12-27 01:33:41,gpt-4.1,1412,257,1669,0.00488
2025-12-27 01:33:54,gpt-4.1,1454,250,1704,0.004908
2025-12-27 01:34:08,gpt-4.1,1438,231,1669,0.004724
2025-12-27 01:34:13,gpt-4.1,2233,292,2525,0.006801999999999999
2025-12-27 01:34:33,gpt-4.1,2340,261,2601,0.006768
2025-12-27 01:34:53,gpt-4.1,2310,291,2601,0.006947999999999999
2025-12-27 01:35:09,gpt-4.1,2182,295,2477,0.006723999999999999
2025-12-27 01:35:23,gpt-4.1,2052,241,2293,0.006032
2025-12-27 01:35:39,gpt-4.1,2040,271,2311,0.006247999999999999
2025-12-27 01:35:56,gpt-4.1,2089,237,2326,0.0060739999999999995
2025-12-27 01:36:00,gpt-4.1,5739,330,6069,0.014117999999999999
2025-12-27 01:36:38,gpt-4.1,4613,332,4945,0.011882
2025-12-27 01:37:10,gpt-4.1,4501,302,4803,0.011418
2025-12-27 01:37:46,gpt-4.1,4653,314,4967,0.011818
2025-12-27 01:38:24,gpt-4.1,4813,298,5111,0.01201
2025-12-27 01:38:57,gpt-4.1,4763,263,5026,0.01163
2025-12-27 01:39:30,gpt-4.1,4645,241,4886,0.011217999999999999
