timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-04 23:38:05,gpt-5,1656,2403,4059,0.0261
2025-12-04 23:39:23,gpt-5,1652,2112,3764,0.023185000000000004
2025-12-04 23:41:02,gpt-5,1602,2698,4300,0.0289825
2025-12-04 23:42:15,gpt-5,1300,3753,5053,0.039155
2025-12-04 23:43:06,gpt-5,1655,3165,4820,0.033718750000000006
2025-12-04 23:44:01,gpt-5,1685,3328,5013,0.03538625
2025-12-04 23:44:36,gpt-5,2956,2772,5728,0.031415
2025-12-04 23:47:11,gpt-5,4382,2612,6994,0.0315975
2025-12-04 23:48:39,gpt-5,4362,3154,7516,0.036992500000000005
2025-12-04 23:49:20,gpt-5,6583,2874,9457,0.03696875
2025-12-04 23:51:23,gpt-5,5480,4207,9687,0.048920000000000005
2025-12-04 23:53:44,gpt-5,5571,3158,8729,0.03854375
