timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 20:14:18,gpt-4.1,1791,242,2033,0.0055179999999999995
2025-12-26 20:14:44,gpt-4.1,1869,289,2158,0.00605
2025-12-26 20:15:04,gpt-4.1,1870,292,2162,0.006076
2025-12-26 20:15:24,gpt-4.1,1891,331,2222,0.00643
2025-12-26 20:15:43,gpt-4.1,1860,310,2170,0.0062
2025-12-26 20:16:10,gpt-4.1,1913,276,2189,0.006033999999999999
2025-12-26 20:16:31,gpt-4.1,1892,237,2129,0.00568
2025-12-26 20:16:34,gpt-4.1,1196,191,1387,0.00392
2025-12-26 20:16:56,gpt-4.1,1373,248,1621,0.00473
2025-12-26 20:17:18,gpt-4.1,1329,212,1541,0.004354
2025-12-26 20:17:35,gpt-4.1,1342,291,1633,0.005011999999999999
2025-12-26 20:18:00,gpt-4.1,1472,278,1750,0.005168
2025-12-26 20:18:23,gpt-4.1,1380,253,1633,0.004784
2025-12-26 20:18:42,gpt-4.1,1556,303,1859,0.005535999999999999
2025-12-26 20:18:47,gpt-4.1,4280,284,4564,0.010832
2025-12-26 20:19:19,gpt-4.1,3314,240,3554,0.008548
2025-12-26 20:19:51,gpt-4.1,3261,309,3570,0.008994
2025-12-26 20:20:21,gpt-4.1,3288,254,3542,0.008608
2025-12-26 20:20:52,gpt-4.1,2682,281,2963,0.007612
2025-12-26 20:21:18,gpt-4.1,2531,230,2761,0.006901999999999999
2025-12-26 20:21:46,gpt-4.1,2692,335,3027,0.008064
2025-12-26 20:21:51,gpt-4.1,5739,372,6111,0.014453999999999998
2025-12-26 20:22:29,gpt-4.1,4205,316,4521,0.010938
2025-12-26 20:23:09,gpt-4.1,4340,333,4673,0.011344
2025-12-26 20:23:43,gpt-4.1,4022,330,4352,0.010683999999999999
2025-12-26 20:24:26,gpt-4.1,5333,324,5657,0.013257999999999999
2025-12-26 20:24:59,gpt-4.1,4327,401,4728,0.011862000000000001
2025-12-26 20:25:27,gpt-4.1,3884,274,4158,0.00996
