x_center,y_center,mean_correction,count
1.0497619390195798,0.03346708099631702,1.9749757343071679,1
1.0497619390195798,0.05186009164099639,,0
1.0497619390195798,0.07025310228567577,1.7603502358254766,12
1.0497619390195798,0.08864611293035514,1.623204335518008,55
1.0497619390195798,0.10703912357503452,1.730613003509774,169
1.0497619390195798,0.1254321342197139,1.8033812987175888,186
1.0497619390195798,0.14382514486439324,1.719259604381612,155
1.0497619390195798,0.16221815550907265,1.6554791796630617,117
1.0497619390195798,0.180611166153752,1.5798562552417714,76
1.0497619390195798,0.1990041767984314,1.537985812400437,53
1.0497619390195798,0.21739718744311076,1.451983505736955,29
1.0497619390195798,0.23579019808779011,1.4173604347227824,21
1.0497619390195798,0.2541832087324695,1.367700118556698,12
1.0497619390195798,0.2725762193771489,1.2450208148692299,6
1.0497619390195798,0.2909692300218283,1.4272009541268178,3
1.0497619390195798,0.30936224066650764,1.2940447412324396,3
1.0497619390195798,0.327755251311187,,0
1.0497619390195798,0.34614826195586634,,0
1.0497619390195798,0.36454127260054575,,0
1.0497619390195798,0.38293428324522516,,0
1.1492858170587412,0.03346708099631702,,0
1.1492858170587412,0.05186009164099639,1.4336539730777242,2
1.1492858170587412,0.07025310228567577,1.7296179260327493,12
1.1492858170587412,0.08864611293035514,1.4307199409489342,30
1.1492858170587412,0.10703912357503452,1.528958773843343,69
1.1492858170587412,0.1254321342197139,1.545653499038754,59
1.1492858170587412,0.14382514486439324,1.4669400328470388,47
1.1492858170587412,0.16221815550907265,1.539006902592975,34
1.1492858170587412,0.180611166153752,1.3436538681967265,27
1.1492858170587412,0.1990041767984314,1.3307695514554312,18
1.1492858170587412,0.21739718744311076,1.2800425387254557,10
1.1492858170587412,0.23579019808779011,1.2786217414560075,7
1.1492858170587412,0.2541832087324695,1.3435731924916556,3
1.1492858170587412,0.2725762193771489,1.0801595669285353,1
1.1492858170587412,0.2909692300218283,1.270372188346502,1
1.1492858170587412,0.30936224066650764,,0
1.1492858170587412,0.327755251311187,,0
1.1492858170587412,0.34614826195586634,,0
1.1492858170587412,0.36454127260054575,,0
1.1492858170587412,0.38293428324522516,,0
1.2488096950979026,0.03346708099631702,2.1306524004797613,1
1.2488096950979026,0.05186009164099639,1.1339678588957978,2
1.2488096950979026,0.07025310228567577,1.4420214913235467,13
1.2488096950979026,0.08864611293035514,1.3798347357326326,34
1.2488096950979026,0.10703912357503452,1.3830317893712187,51
1.2488096950979026,0.1254321342197139,1.386587147446016,44
1.2488096950979026,0.14382514486439324,1.3493112440421273,41
1.2488096950979026,0.16221815550907265,1.2867271075805808,25
1.2488096950979026,0.180611166153752,1.3680487558576135,31
1.2488096950979026,0.1990041767984314,1.353503554490009,13
1.2488096950979026,0.21739718744311076,1.4007444354081713,10
1.2488096950979026,0.23579019808779011,1.3504493444704884,10
1.2488096950979026,0.2541832087324695,1.103901386670492,1
1.2488096950979026,0.2725762193771489,1.1630854776795272,4
1.2488096950979026,0.2909692300218283,1.1388615996055627,2
1.2488096950979026,0.30936224066650764,1.1244175376731238,1
1.2488096950979026,0.327755251311187,,0
1.2488096950979026,0.34614826195586634,,0
1.2488096950979026,0.36454127260054575,,0
1.2488096950979026,0.38293428324522516,,0
1.348333573137064,0.03346708099631702,2.11803079064979,1
1.348333573137064,0.05186009164099639,1.4663381359686407,4
1.348333573137064,0.07025310228567577,1.4252156687420054,14
1.348333573137064,0.08864611293035514,1.3423415846780917,23
1.348333573137064,0.10703912357503452,1.4418296802641362,50
1.348333573137064,0.1254321342197139,1.3632667521143547,42
1.348333573137064,0.14382514486439324,1.2417971622480908,21
1.348333573137064,0.16221815550907265,1.4353713495708667,29
1.348333573137064,0.180611166153752,1.1678041494975455,16
1.348333573137064,0.1990041767984314,1.3944322821245803,8
1.348333573137064,0.21739718744311076,1.2128607743624416,7
1.348333573137064,0.23579019808779011,1.2957130072202143,5
1.348333573137064,0.2541832087324695,1.183647161137344,8
1.348333573137064,0.2725762193771489,1.4279090687874236,3
1.348333573137064,0.2909692300218283,1.0762824629499768,1
1.348333573137064,0.30936224066650764,1.6079973646412293,1
1.348333573137064,0.327755251311187,,0
1.348333573137064,0.34614826195586634,,0
1.348333573137064,0.36454127260054575,0.9966000768311235,1
1.348333573137064,0.38293428324522516,,0
1.4478574511762254,0.03346708099631702,1.9661716680941865,1
1.4478574511762254,0.05186009164099639,1.4717157927382591,2
1.4478574511762254,0.07025310228567577,1.5805877506510713,7
1.4478574511762254,0.08864611293035514,1.3221222073795225,36
1.4478574511762254,0.10703912357503452,1.308617123458264,46
1.4478574511762254,0.1254321342197139,1.3243557652650972,31
1.4478574511762254,0.14382514486439324,1.2915156242399488,18
1.4478574511762254,0.16221815550907265,1.2859415362649513,21
1.4478574511762254,0.180611166153752,1.2722260576083952,9
1.4478574511762254,0.1990041767984314,1.2420684033538583,13
1.4478574511762254,0.21739718744311076,1.2528371059215642,8
1.4478574511762254,0.23579019808779011,1.2663320919256722,8
1.4478574511762254,0.2541832087324695,1.101698752532987,5
1.4478574511762254,0.2725762193771489,1.1380809495514612,3
1.4478574511762254,0.2909692300218283,1.1024740387072665,2
1.4478574511762254,0.30936224066650764,,0
1.4478574511762254,0.327755251311187,,0
1.4478574511762254,0.34614826195586634,,0
1.4478574511762254,0.36454127260054575,,0
1.4478574511762254,0.38293428324522516,,0
1.5473813292153868,0.03346708099631702,,0
1.5473813292153868,0.05186009164099639,,0
1.5473813292153868,0.07025310228567577,1.3892937091323263,7
1.5473813292153868,0.08864611293035514,1.2649111616760618,35
1.5473813292153868,0.10703912357503452,1.3259928685580789,43
1.5473813292153868,0.1254321342197139,1.3079751560147936,29
1.5473813292153868,0.14382514486439324,1.2512418108723744,22
1.5473813292153868,0.16221815550907265,1.24661159823357,26
1.5473813292153868,0.180611166153752,1.384048543700266,4
1.5473813292153868,0.1990041767984314,1.3737905732474278,11
1.5473813292153868,0.21739718744311076,1.2092102831080238,3
1.5473813292153868,0.23579019808779011,1.2306277146453082,3
1.5473813292153868,0.2541832087324695,1.138371209529305,3
1.5473813292153868,0.2725762193771489,1.084041566608941,3
1.5473813292153868,0.2909692300218283,,0
1.5473813292153868,0.30936224066650764,,0
1.5473813292153868,0.327755251311187,,0
1.5473813292153868,0.34614826195586634,,0
1.5473813292153868,0.36454127260054575,,0
1.5473813292153868,0.38293428324522516,,0
1.6469052072545483,0.03346708099631702,1.8485906989647514,1
1.6469052072545483,0.05186009164099639,1.5766714654559004,4
1.6469052072545483,0.07025310228567577,1.497559374218881,10
1.6469052072545483,0.08864611293035514,1.3525112096777787,31
1.6469052072545483,0.10703912357503452,1.4022128041165367,38
1.6469052072545483,0.1254321342197139,1.1974497444923897,24
1.6469052072545483,0.14382514486439324,1.217755908217673,21
1.6469052072545483,0.16221815550907265,1.1783063557991267,20
1.6469052072545483,0.180611166153752,1.1718963665208884,13
1.6469052072545483,0.1990041767984314,1.2894073023833075,10
1.6469052072545483,0.21739718744311076,1.2179223594807018,4
1.6469052072545483,0.23579019808779011,1.2072307214675693,1
1.6469052072545483,0.2541832087324695,1.1346749658657942,2
1.6469052072545483,0.2725762193771489,,0
1.6469052072545483,0.2909692300218283,0.9125281400725871,2
1.6469052072545483,0.30936224066650764,1.1322354980781582,1
1.6469052072545483,0.327755251311187,,0
1.6469052072545483,0.34614826195586634,1.0080255684497021,1
1.6469052072545483,0.36454127260054575,,0
1.6469052072545483,0.38293428324522516,,0
1.7464290852937097,0.03346708099631702,1.648688152940125,2
1.7464290852937097,0.05186009164099639,1.2060411523553336,3
1.7464290852937097,0.07025310228567577,1.4177856443500194,10
1.7464290852937097,0.08864611293035514,1.4168100394785932,31
1.7464290852937097,0.10703912357503452,1.328842664806078,40
1.7464290852937097,0.1254321342197139,1.2483426834888158,22
1.7464290852937097,0.14382514486439324,1.2055643557483213,23
1.7464290852937097,0.16221815550907265,1.2810393891672405,17
