timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 20:37:43,gpt-4.1-mini,2054,1088,3142,0.0025624
2025-12-26 20:38:14,gpt-4.1-mini,2054,1131,3185,0.0026311999999999998
2025-12-26 20:38:48,gpt-4.1-mini,2054,1161,3215,0.0026791999999999996
2025-12-26 20:39:16,gpt-4.1-mini,2166,1207,3373,0.0027976
2025-12-26 20:39:46,gpt-4.1-mini,2166,1289,3455,0.0029287999999999996
2025-12-26 20:40:11,gpt-4.1-mini,2166,1199,3365,0.0027848
2025-12-26 20:40:44,gpt-4.1-mini,1482,838,2320,0.0019335999999999997
2025-12-26 20:41:04,gpt-4.1-mini,1482,856,2338,0.0019624
2025-12-26 20:41:32,gpt-4.1-mini,1482,841,2323,0.0019383999999999998
2025-12-26 20:41:56,gpt-4.1-mini,1801,817,2618,0.0020276
2025-12-26 20:42:15,gpt-4.1-mini,1801,849,2650,0.0020787999999999996
2025-12-26 20:42:41,gpt-4.1-mini,1801,735,2536,0.0018964
2025-12-26 20:43:25,gpt-4.1-mini,2612,1643,4255,0.0036736
2025-12-26 20:44:09,gpt-4.1-mini,2612,1642,4254,0.003672
2025-12-26 20:44:55,gpt-4.1-mini,2612,1666,4278,0.0037104
2025-12-26 20:45:47,gpt-4.1-mini,3008,2986,5994,0.0059808
2025-12-26 20:46:36,gpt-4.1-mini,3008,2678,5686,0.005488
2025-12-26 20:47:23,gpt-4.1-mini,3008,2721,5729,0.0055568
2025-12-26 20:48:32,gpt-4.1-mini,5056,2861,7917,0.006599999999999999
2025-12-26 20:49:25,gpt-4.1-mini,5056,2735,7791,0.006398399999999999
2025-12-26 20:51:07,gpt-4.1-mini,5056,2854,7910,0.0065888
2025-12-26 20:52:15,gpt-4.1-mini,4658,2958,7616,0.006595999999999999
2025-12-26 20:53:15,gpt-4.1-mini,4658,3031,7689,0.0067128
2025-12-26 20:55:07,gpt-4.1-mini,4658,3002,7660,0.006666399999999999
