timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 20:14:40,gpt-5-mini,2009,1507,3516,0.00351625
2025-12-26 20:14:59,gpt-5-mini,2009,1572,3581,0.0036462499999999998
2025-12-26 20:15:20,gpt-5-mini,2009,1657,3666,0.0038162499999999998
2025-12-26 20:15:39,gpt-5-mini,2087,1690,3777,0.00390175
2025-12-26 20:16:05,gpt-5-mini,2087,1615,3702,0.00375175
2025-12-26 20:16:27,gpt-5-mini,2087,1658,3745,0.00383775
2025-12-26 20:16:52,gpt-5-mini,1351,1531,2882,0.00339975
2025-12-26 20:17:15,gpt-5-mini,1351,1423,2774,0.00318375
2025-12-26 20:17:31,gpt-5-mini,1351,1116,2467,0.00256975
2025-12-26 20:17:56,gpt-5-mini,1562,1566,3128,0.0035224999999999996
2025-12-26 20:18:20,gpt-5-mini,1562,1730,3292,0.0038504999999999998
2025-12-26 20:18:38,gpt-5-mini,1562,1394,2956,0.0031785
2025-12-26 20:19:17,gpt-5-mini,4345,2870,7215,0.006826249999999999
2025-12-26 20:19:47,gpt-5-mini,4345,2945,7290,0.00697625
2025-12-26 20:20:18,gpt-5-mini,4345,2844,7189,0.006774249999999999
2025-12-26 20:20:48,gpt-5-mini,3347,2366,5713,0.00556875
2025-12-26 20:21:14,gpt-5-mini,3347,2023,5370,0.00488275
2025-12-26 20:21:42,gpt-5-mini,3347,2440,5787,0.00571675
2025-12-26 20:22:24,gpt-5-mini,5930,3538,9468,0.0085585
2025-12-26 20:23:05,gpt-5-mini,5930,3353,9283,0.0081885
2025-12-26 20:23:39,gpt-5-mini,5930,3099,9029,0.0076805
2025-12-26 20:24:22,gpt-5-mini,5958,4794,10752,0.011077499999999999
2025-12-26 20:24:52,gpt-5-mini,5958,3404,9362,0.0082975
2025-12-26 20:25:23,gpt-5-mini,5958,2961,8919,0.0074115
