timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-27 01:31:08,gpt-4.1-mini,1852,983,2835,0.0023136
2025-12-27 01:31:22,gpt-4.1-mini,1852,975,2827,0.0023008
2025-12-27 01:31:34,gpt-4.1-mini,1852,956,2808,0.0022703999999999997
2025-12-27 01:31:53,gpt-4.1-mini,1906,991,2897,0.002348
2025-12-27 01:32:08,gpt-4.1-mini,1906,993,2899,0.0023512
2025-12-27 01:32:22,gpt-4.1-mini,1906,937,2843,0.0022616
2025-12-27 01:32:39,gpt-4.1-mini,1372,878,2250,0.0019535999999999998
2025-12-27 01:32:53,gpt-4.1-mini,1372,828,2200,0.0018736
2025-12-27 01:33:07,gpt-4.1-mini,1372,857,2229,0.0019199999999999998
2025-12-27 01:33:25,gpt-4.1-mini,1665,793,2458,0.0019348
2025-12-27 01:33:51,gpt-4.1-mini,1665,835,2500,0.002002
2025-12-27 01:34:05,gpt-4.1-mini,1665,819,2484,0.0019763999999999997
2025-12-27 01:34:30,gpt-4.1-mini,2306,1567,3873,0.0034295999999999997
2025-12-27 01:34:49,gpt-4.1-mini,2306,1537,3843,0.0033816
2025-12-27 01:35:05,gpt-4.1-mini,2306,1409,3715,0.0031767999999999996
2025-12-27 01:35:20,gpt-4.1-mini,2392,1279,3671,0.0030031999999999997
2025-12-27 01:35:36,gpt-4.1-mini,2392,1267,3659,0.0029839999999999997
2025-12-27 01:35:53,gpt-4.1-mini,2392,1316,3708,0.0030624
2025-12-27 01:36:34,gpt-4.1-mini,5902,3233,9135,0.0075336
2025-12-27 01:37:07,gpt-4.1-mini,5902,3121,9023,0.0073544
2025-12-27 01:37:42,gpt-4.1-mini,5902,3273,9175,0.0075975999999999995
2025-12-27 01:38:18,gpt-4.1-mini,4794,3433,8227,0.0074104
2025-12-27 01:38:53,gpt-4.1-mini,4794,3383,8177,0.0073304
2025-12-27 01:39:26,gpt-4.1-mini,4794,3265,8059,0.0071416
