timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 20:36:57,gpt-4.1-mini,2165,1088,3253,0.0026068
2025-12-26 20:37:25,gpt-4.1-mini,2165,1073,3238,0.0025827999999999997
2025-12-26 20:37:49,gpt-4.1-mini,2165,1004,3169,0.0024724
2025-12-26 20:38:18,gpt-4.1-mini,2210,1282,3492,0.0029352
2025-12-26 20:38:47,gpt-4.1-mini,2210,1276,3486,0.0029255999999999996
2025-12-26 20:39:13,gpt-4.1-mini,2210,1277,3487,0.0029271999999999996
2025-12-26 20:39:53,gpt-4.1-mini,1541,829,2370,0.0019428
2025-12-26 20:40:14,gpt-4.1-mini,1541,874,2415,0.0020147999999999998
2025-12-26 20:40:34,gpt-4.1-mini,1541,883,2424,0.0020292
2025-12-26 20:40:58,gpt-4.1-mini,1800,1019,2819,0.0023504
2025-12-26 20:41:25,gpt-4.1-mini,1800,984,2784,0.0022944
2025-12-26 20:41:54,gpt-4.1-mini,1800,1041,2841,0.0023856
2025-12-26 20:43:07,gpt-4.1-mini,4722,2965,7687,0.0066327999999999995
2025-12-26 20:43:58,gpt-4.1-mini,4722,2586,7308,0.0060263999999999995
2025-12-26 20:44:51,gpt-4.1-mini,4722,2634,7356,0.0061032
2025-12-26 20:45:49,gpt-4.1-mini,4134,3486,7620,0.007231199999999999
2025-12-26 20:46:35,gpt-4.1-mini,4134,3369,7503,0.007044
2025-12-26 20:47:26,gpt-4.1-mini,4134,3613,7747,0.0074344
2025-12-26 20:48:33,gpt-4.1-mini,6164,3478,9642,0.0080304
2025-12-26 20:49:26,gpt-4.1-mini,6164,3305,9469,0.0077536
2025-12-26 20:51:21,gpt-4.1-mini,6164,3628,9792,0.0082704
2025-12-26 20:52:25,gpt-4.1-mini,5065,3896,8961,0.008259599999999999
2025-12-26 20:53:20,gpt-4.1-mini,5065,3906,8971,0.008275600000000001
2025-12-26 20:55:16,gpt-4.1-mini,5065,3893,8958,0.0082548
