timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-10 18:26:41,gpt-5-mini,2201,1698,3899,0.00394625
2025-12-10 18:27:13,gpt-5-mini,2201,1711,3912,0.00397225
2025-12-10 18:27:51,gpt-5-mini,2201,2102,4303,0.00475425
2025-12-10 18:28:23,gpt-5-mini,2201,1681,3882,0.00391225
2025-12-10 18:28:55,gpt-5-mini,2232,1888,4120,0.004334
2025-12-10 18:29:28,gpt-5-mini,2232,1850,4082,0.004258
2025-12-10 18:30:02,gpt-5-mini,2232,1881,4113,0.00432
2025-12-10 18:30:39,gpt-5-mini,2232,1971,4203,0.0045000000000000005
2025-12-10 18:31:10,gpt-5-mini,1530,1453,2983,0.0032884999999999998
2025-12-10 18:31:44,gpt-5-mini,1530,1462,2992,0.0033065
2025-12-10 18:32:20,gpt-5-mini,1530,1733,3263,0.0038485
2025-12-10 18:32:50,gpt-5-mini,1530,1636,3166,0.0036544999999999998
2025-12-10 18:33:29,gpt-5-mini,1558,1838,3396,0.0040655
2025-12-10 18:34:06,gpt-5-mini,1558,1485,3043,0.0033595
2025-12-10 18:35:01,gpt-5-mini,1558,1745,3303,0.0038795
2025-12-10 18:35:44,gpt-5-mini,1558,2458,4016,0.0053054999999999995
2025-12-10 18:36:48,gpt-5-mini,3828,3737,7565,0.008431
2025-12-10 18:37:33,gpt-5-mini,3828,3328,7156,0.007613
2025-12-10 18:38:28,gpt-5-mini,3828,3780,7608,0.008517
2025-12-10 18:39:22,gpt-5-mini,3828,3645,7473,0.008246999999999999
2025-12-10 18:40:11,gpt-5-mini,3585,3604,7189,0.00810425
2025-12-10 18:41:11,gpt-5-mini,3585,3773,7358,0.00844225
2025-12-10 18:42:02,gpt-5-mini,3585,3244,6829,0.00738425
2025-12-10 18:43:07,gpt-5-mini,3585,3877,7462,0.00865025
2025-12-10 18:43:52,gpt-5-mini,5570,2179,7749,0.0057504999999999995
2025-12-10 18:44:37,gpt-5-mini,5570,2091,7661,0.0055745
2025-12-10 18:45:20,gpt-5-mini,5570,2212,7782,0.0058165
2025-12-10 18:46:23,gpt-5-mini,5570,4115,9685,0.009622499999999999
2025-12-10 18:47:23,gpt-5-mini,4697,2432,7129,0.006038249999999999
2025-12-10 18:48:06,gpt-5-mini,4697,2316,7013,0.00580625
2025-12-10 18:48:54,gpt-5-mini,4697,2478,7175,0.006130249999999999
2025-12-10 18:49:30,gpt-5-mini,4697,2191,6888,0.0055562499999999996
