timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-05 19:13:11,gpt-4.1-mini,2232,1196,3428,0.0028063999999999997
2025-12-05 19:13:30,gpt-4.1-mini,2232,1195,3427,0.0028047999999999997
2025-12-05 19:13:45,gpt-4.1-mini,2232,1204,3436,0.0028192
2025-12-05 19:14:02,gpt-4.1-mini,2232,1195,3427,0.0028047999999999997
2025-12-05 19:14:22,gpt-4.1-mini,2047,1183,3230,0.0027115999999999998
2025-12-05 19:14:38,gpt-4.1-mini,2047,1139,3186,0.0026412
2025-12-05 19:14:58,gpt-4.1-mini,2047,1161,3208,0.0026764
2025-12-05 19:15:17,gpt-4.1-mini,2047,1231,3278,0.0027884
2025-12-05 19:15:34,gpt-4.1-mini,1446,715,2161,0.0017224
2025-12-05 19:15:47,gpt-4.1-mini,1446,699,2145,0.0016967999999999998
2025-12-05 19:16:00,gpt-4.1-mini,1446,697,2143,0.0016936
2025-12-05 19:16:12,gpt-4.1-mini,1446,680,2126,0.0016664
2025-12-05 19:16:26,gpt-4.1-mini,1519,733,2252,0.0017804
2025-12-05 19:16:41,gpt-4.1-mini,1519,723,2242,0.0017644
2025-12-05 19:16:56,gpt-4.1-mini,1519,685,2204,0.0017036
2025-12-05 19:17:09,gpt-4.1-mini,1519,710,2229,0.0017435999999999999
2025-12-05 19:17:40,gpt-4.1-mini,2958,1973,4931,0.00434
2025-12-05 19:18:14,gpt-4.1-mini,2958,2136,5094,0.0046007999999999995
2025-12-05 19:18:41,gpt-4.1-mini,2958,2031,4989,0.0044328
2025-12-05 19:19:06,gpt-4.1-mini,2958,1911,4869,0.004240799999999999
2025-12-05 19:19:37,gpt-4.1-mini,2812,2277,5089,0.004768
2025-12-05 19:20:04,gpt-4.1-mini,2812,2105,4917,0.0044928
2025-12-05 19:20:36,gpt-4.1-mini,2812,2232,5044,0.004696
2025-12-05 19:21:07,gpt-4.1-mini,2812,2229,5041,0.0046911999999999995
2025-12-05 19:21:38,gpt-4.1-mini,6854,2711,9565,0.007079199999999999
2025-12-05 19:22:14,gpt-4.1-mini,6854,2796,9650,0.0072152
2025-12-05 19:22:57,gpt-4.1-mini,6854,2846,9700,0.0072952
2025-12-05 19:23:39,gpt-4.1-mini,6854,3617,10471,0.0085288
2025-12-05 19:24:28,gpt-4.1-mini,5182,3743,8925,0.0080616
2025-12-05 19:25:24,gpt-4.1-mini,5182,3788,8970,0.0081336
2025-12-05 19:25:58,gpt-4.1-mini,5182,3740,8922,0.0080568
2025-12-05 19:26:48,gpt-4.1-mini,5182,2797,7979,0.006548
