timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-11-16 20:36:39,gpt-4.1,174,140,314,0.001468
2025-11-16 20:36:51,gpt-4.1,1045,759,1804,0.008161999999999999
2025-11-16 20:36:58,gpt-4.1,1045,653,1698,0.007313999999999999
2025-11-16 20:37:04,gpt-4.1,1045,718,1763,0.006298
2025-11-16 20:37:09,gpt-4.1,1130,680,1810,0.007699999999999999
2025-11-16 20:37:14,gpt-4.1,1130,624,1754,0.007252
2025-11-16 20:37:26,gpt-4.1,1130,586,1716,0.006947999999999999
2025-11-16 20:37:35,gpt-4.1,1130,587,1717,0.0054199999999999995
2025-11-16 20:37:55,gpt-4.1,1037,1448,2485,0.013657999999999998
2025-11-16 20:38:15,gpt-4.1,1016,2176,3192,0.01944
2025-11-16 20:38:29,gpt-4.1,1037,1110,2147,0.010953999999999998
2025-11-16 20:38:39,gpt-4.1,1838,739,2577,0.009588
2025-11-16 20:38:54,gpt-4.1,2561,1593,4154,0.017866
2025-11-16 20:39:05,gpt-4.1,1838,1009,2847,0.011748
2025-11-16 20:39:19,gpt-4.1,1838,1042,2880,0.012012
2025-11-16 20:39:34,gpt-4.1,1953,1414,3367,0.015217999999999999
2025-11-16 20:39:46,gpt-4.1,1838,705,2543,0.006628
2025-11-16 20:39:58,gpt-4.1,1838,992,2830,0.011612
2025-11-16 20:40:14,gpt-4.1,1801,1460,3261,0.015281999999999999
2025-11-16 20:40:27,gpt-4.1,1838,1186,3024,0.010476
